iter	Passed	Remaining
1198	7554	5046
1199	7560	5040
1200	7566	5033
1201	7571	5026
1202	7577	5019
1203	7582	5013
1204	7587	5006
1205	7593	4999
1206	7598	4992
1207	7603	4985
1208	7609	4978
1209	7614	4971
1210	7619	4964
1211	7626	4958
1212	7631	4951
1213	7636	4944
1214	7642	4937
1215	7647	4930
1216	7653	4923
1217	7659	4917
1218	7664	4910
1219	7670	4904
1220	7675	4897
1221	7680	4890
1222	7686	4883
1223	7691	4876
1224	7696	4869
1225	7702	4862
1226	7708	4856
1227	7713	4849
1228	7718	4842
1229	7724	4835
1230	7730	4829
1231	7735	4822
1232	7741	4815
1233	7746	4808
1234	7751	4801
1235	7758	4795
1236	7763	4788
1237	7768	4781
1238	7773	4774
1239	7778	4767
1240	7784	4760
1241	7790	4754
1242	7795	4747
1243	7800	4740
1244	7805	4733
1245	7810	4726
1246	7816	4719
1247	7822	4713
1248	7828	4706
1249	7833	4699
1250	7838	4693
1251	7844	4686
1252	7849	4679
1253	7855	4672
1254	7860	4665
1255	7865	4659
1256	7870	4652
1257	7875	4645
1258	7880	4638
1259	7886	4631
1260	7892	4625
1261	7897	4618
1262	7903	4612
1263	7909	4605
1264	7914	4598
1265	7921	4592
1266	7927	4586
1267	7933	4579
1268	7938	4572
1269	7943	4565
1270	7948	4559
1271	7953	4552
1272	7959	4545
1273	7964	4538
1274	7969	4531
1275	7975	4525
1276	7980	4518
1277	7986	4511
1278	7992	4505
1279	7997	4498
1280	8003	4492
1281	8008	4485
1282	8013	4478
1283	8019	4471
1284	8024	4465
1285	8030	4458
1286	8035	4451
1287	8041	4445
1288	8046	4438
1289	8052	4431
1290	8057	4425
1291	8062	4418
1292	8068	4411
1293	8073	4404
1294	8079	4398
1295	8084	4391
1296	8089	4384
1297	8094	4377
1298	8100	4371
1299	8105	4364
1300	8110	4357
1301	8116	4351
1302	8122	4344
1303	8127	4337
1304	8133	4331
1305	8138	4324
1306	8143	4318
1307	8149	4311
1308	8155	4305
1309	8161	4298
1310	8166	4291
1311	8171	4284
1312	8176	4278
1313	8182	4271
1314	8187	4264
1315	8192	4258
1316	8200	4252
1317	8205	4245
1318	8210	4239
1319	8216	4232
1320	8220	4225
1321	8226	4218
1322	8232	4212
1323	8237	4205
1324	8243	4199
1325	8249	4192
1326	8254	4186
1327	8259	4179
1328	8264	4172
1329	8269	4165
1330	8275	4159
1331	8282	4153
1332	8287	4147
1333	8293	4140
1334	8299	4134
1335	8304	4127
1336	8310	4120
1337	8315	4114
1338	8320	4107
1339	8326	4101
1340	8332	4094
1341	8337	4087
1342	8343	4081
1343	8348	4074
1344	8353	4068
1345	8359	4061
1346	8364	4054
1347	8369	4048
1348	8375	4041
